,시도,군구,시도군구,lot
143,서울특별시,성북구,서울특별시 성북구,9
144,서울특별시,송파구,서울특별시 송파구,16
145,서울특별시,양천구,서울특별시 양천구,6
146,서울특별시,영등포구,서울특별시 영등포구,7
147,서울특별시,용산구,서울특별시 용산구,7
148,서울특별시,은평구,서울특별시 은평구,6
149,서울특별시,종로구,서울특별시 종로구,4
150,서울특별시,중구,서울특별시 중구,3
151,서울특별시,중랑구,서울특별시 중랑구,9
152,세종특별자치시,부강면,세종특별자치시 부강면,1
153,세종특별자치시,세종시,세종특별자치시 세종시,9
154,울산광역시,남구,울산광역시 남구,8
155,울산광역시,동구,울산광역시 동구,4
156,울산광역시,북구,울산광역시 북구,7
157,울산광역시,울주군,울산광역시 울주군,6
158,울산광역시,을주군,울산광역시 을주군,1
159,울산광역시,중구,울산광역시 중구,5
160,인천광역시,강화군,인천광역시 강화군,1
161,인천광역시,계양구,인천광역시 계양구,7
162,인천광역시,남구,인천광역시 남구,15
163,인천광역시,남동구,인천광역시 남동구,10
164,인천광역시,부평구,인천광역시 부평구,10
165,인천광역시,서구,인천광역시 서구,15
166,인천광역시,연수구,인천광역시 연수구,8
167,인천광역시,옹진군,인천광역시 옹진군,1
168,인천광역시,중구,인천광역시 중구,11
169,전라남도,강진군,전라남도 강진군,1
170,전라남도,고흥군,전라남도 고흥군,1
171,전라남도,곡성군,전라남도 곡성군,1
172,전라남도,광양시,전라남도 광양시,3
173,전라남도,구례군,전라남도 구례군,1
174,전라남도,나주시,전라남도 나주시,2
175,전라남도,담양군,전라남도 담양군,1
176,전라남도,목포시,전라남도 목포시,7
177,전라남도,무안군,전라남도 무안군,3
178,전라남도,보성군,전라남도 보성군,1
179,전라남도,순천시,전라남도 순천시,11
180,전라남도,여수시,전라남도 여수시,10
181,전라남도,영광군,전라남도 영광군,1
182,전라남도,영암군,전라남도 영암군,2
183,전라남도,완도군,전라남도 완도군,1
184,전라남도,임실군,전라남도 임실군,1
185,전라남도,장성군,전라남도 장성군,1
186,전라남도,장흥군,전라남도 장흥군,1
187,전라남도,진도군,전라남도 진도군,1
188,전라남도,함평군,전라남도 함평군,1
189,전라남도,해남군,전라남도 해남군,1
190,전라남도,화순군,전라남도 화순군,1
191,전라북도,고창군,전라북도 고창군,1
192,전라북도,군산시,전라북도 군산시,7
193,전라북도,김제시,전라북도 김제시,1
194,전라북도,남원시,전라북도 남원시,2
195,전라북도,무주군,전라북도 무주군,1
196,전라북도,부안군,전라북도 부안군,1
197,전라북도,순창군,전라북도 순창군,1
198,전라북도,완주군,전라북도 완주군,2
199,전라북도,익산시,전라북도 익산시,8
200,전라북도,장수군,전라북도 장수군,1
201,전라북도,전주시,전라북도 전주시,22
202,전라북도,정읍시,전라북도 정읍시,2
203,전라북도,진안군,전라북도 진안군,1
204,제주특별자치도,서귀포시,제주특별자치도 서귀포시,5
205,제주특별자치도,제주시,제주특별자치도 제주시,10
206,충청남도,계룡시,충청남도 계룡시,1
207,충청남도,공주시,충청남도 공주시,2
208,충청남도,금산군,충청남도 금산군,1
209,충청남도,논산시,충청남도 논산시,3
210,충청남도,당진군,충청남도 당진군,1
211,충청남도,당진시,충청남도 당진시,5
212,충청남도,보령시,충청남도 보령시,3
213,충청남도,부여군,충청남도 부여군,2
214,충청남도,서산시,충청남도 서산시,7
215,충청남도,서천군,충청남도 서천군,2
216,충청남도,아산시,충청남도 아산시,12
217,충청남도,아산신,충청남도 아산신,1
218,충청남도,예산군,충청남도 예산군,1
219,충청남도,천안시,충청남도 천안시,21
220,충청남도,청양군,충청남도 청양군,1
221,충청남도,태안군,충청남도 태안군,1
222,충청남도,홍성군,충청남도 홍성군,3
223,충청북도,괴산군,충청북도 괴산군,1
224,충청북도,단양군,충청북도 단양군,1
225,충청북도,보은군,충청북도 보은군,1
226,충청북도,영동군,충청북도 영동군,1
227,충청북도,옥천군,충청북도 옥천군,2
228,충청북도,음성군,충청북도 음성군,5
229,충청북도,제천시,충청북도 제천시,4
230,충청북도,증평군,충청북도 증평군,1
231,충청북도,진천군,충청북도 진천군,2
232,충청북도,천안시,충청북도 천안시,1
233,충청북도,청원군,충청북도 청원군,4
234,충청북도,청주시,충청북도 청주시,27
235,충청북도,충주시,충청북도 충주시,8
