,이름,주소
366,부산명지DT점,부산 강서구 명지국제8로 272(지번) 명지동 3420-8
367,부산온천SK DT점,부산 동래구 충렬대로 121(지번) 온천동 1431-4
368,부산범전DT점,부산 부산진구 중앙대로 823(지번) 범전동 383-25
369,시청DT점,부산 연제구 중앙대로 1031(지번) 연산동 1364-2
370,부산수영SK DT점,부산 수영구 연수로 411(지번) 수영동 450-9
371,서면3점,부산 부산진구 중앙대로692번길 33(지번) 부전동 172-6
372,진해점,경남 창원시 진해구 벚꽃로 68-1(지번) 화천동 48-15
373,부산정관DT점,부산 기장군 정관읍 정관로 584(지번) 정관읍 매학리 720-3
374,부산초량DT점,부산 동구 중앙대로 228(지번) 초량동 1198-7
375,화명DT점,부산 북구 금곡대로 360(지번) 화명동 193-1
376,부산하단DT점,부산 사하구 낙동대로 431(지번) 하단동 619-21
377,원동점,부산 동래구 충렬대로 486(지번) 안락동 65-2
378,부산대2점,부산 금정구 금정로60번길 24(지번) 장전동 302-9
379,해운대DT점,부산 해운대구 해운대로570번길 51(지번) 우동 626-13
380,부산교대DT점,부산 연제구 중앙대로 1179(지번) 거제동 1-1
381,진해용원DT점,경남 창원시 진해구 용원로7번길 10(지번) 용원동 1213-19
382,부산엄궁DT점,부산 사상구 낙동대로 745(지번) 엄궁동 367-3
383,범일SK DT점,부산 동구 자성로 127(지번) 범일동 828-8
384,웅상DT점,경남 양산시 웅상대로 1259(지번) 삼호동 1016-9
385,당감DT점,부산 부산진구 동평로 91(지번) 당감동 282-30
386,여수이마트점,전남 여수시 좌수영로 277(지번) 오림동 405-1
387,만덕DT점,부산 북구 덕천로 179(지번) 만덕동 759-3
388,주례점,부산 사상구 가야대로 368 2층(지번) 주례동 60-10
389,부산사직DT점,부산 동래구 아시아드대로 110(지번) 사직동 105-11
390,가야점,부산 부산진구 가야대로 607(지번) 가야동 50-4
391,부산영도DT점,부산 영도구 태종로 150(지번) 봉래동3가 82-2
392,통영죽림DT점,경남 통영시 광도면 죽림4로 36(지번) 광도면 죽림리 1569-1
393,사직점,부산 동래구 사직북로 1(지번) 사직동 92-7
394,부산남천DT점,부산 수영구 수영로 470(지번) 남천동 30-5
395,부곡점,부산 금정구 수림로 6 에스케이아파트 상가(지번) 부곡동 63-11
396,부산기장DT점,부산 기장군 기장읍 기장대로 500(지번) 기장읍 청강리 112-1
397,울산일산DT점,울산 동구 방어진순환도로 634(지번) 일산동 951-5
398,부산송정DT점,부산 해운대구 해운대로 1114(지번) 송정동 135-2
399,양산덕계DT점,경남 양산시 웅상대로 910(지번) 평산동 16-6
400,달맞이DT점,부산 해운대구 좌동순환로 455(지번) 중동 1777-5
401,부산황령DT점,부산 남구 황령대로 374(지번) 대연동 201
402,토곡점,부산 연제구 과정로 226(지번) 연산동 399-10
403,동아대점,부산 사하구 낙동대로 548 1층(지번) 하단동 810-4
404,부산동명대DT점,부산 남구 신선로 424(지번) 용당동 524
405,경성대점,부산 남구 수영로 304(지번) 대연동 72-23
406,부산다대DT점,부산 사하구 다대로 532-1(지번) 다대동 1160-12
407,초읍DT점,부산 부산진구 성지로 152(지번) 초읍동 171-6
408,좌동1점,부산 해운대구 좌동순환로 181(지번) 좌동 1407-5
409,개금점,부산 부산진구 복지로 70 현대아파트상가 103호(지번) 개금동 624
410,옥포SK DT점,경남 거제시 거제대로 3714(지번) 옥포동 551-1
411,제주시청DT점,제주특별자치도 제주시 중앙로 277(지번) 이도이동 1057-2
412,제주공항DT점,제주특별자치도 제주시 도령로 159(지번) 용담이동 1787-2
413,제주중문DT점,제주특별자치도 서귀포시 중문관광로 38(지번) 색달동 2558-1
414,제주노형DT점,제주특별자치도 제주시 노연로 7(지번) 노형동 903-5
415,탑동점,제주특별자치도 제주시 임항로 17(지번) 건입동 1442-2
416,거제점,경남 거제시 장평로 12 디큐브백화점 1층(지번) 장평동 1211
417,제주서귀포DT점,제주특별자치도 서귀포시 일주동로 8665(지번) 서귀동 284-29
418,제주일도DT점,제주특별자치도 제주시 동광로 134(지번) 일도이동 369-11
419,창원이마트점,경남 창원시 성산구 원이대로 608(지번) 중앙동 91
420,메가마트남천점,부산 수영구 황령대로 521(지번) 남천동 545-2
421,대구수성DT점 주차장,대구 수성구 달구벌대로469길 13(지번) 수성동4가 1020-1
422,제주월드컵스타디움DT점,제주특별자치도 서귀포시 일주서로 7(지번) 강정동 231-1
423,주차장,부산 부산진구 중앙대로 823(지번) 범전동 383-29
424,맥도날드공항점 전기차충전소,제주특별자치도 제주시 도령로 159 우측 주차장(지번) 용담2동 1787
425,제주월드스타디움DT점 전기차충전소,제주특별자치도 서귀포시 강정동 231-1 주차장 측면
426,공중전화 맥도날드앞,인천 중구 인현동 29-1
427,LG유플러스 은행동 시흥맥도날드점,경기 시흥시 대은로 86 다이아몬드빌딩 101호(지번) 은행동 535
428,신한은행 365코너 방배역맥도널드,서울 서초구 방배로 81(지번) 방배동 909-9
429,공중전화 맥도널드앞 삼선교,서울 성북구 동소문로 15(지번) 동소문동1가 32-2
430,공중전화 맥도날드중랑점앞,서울 중랑구 상봉동 130-166
431,쏘카존 목원대점 뒤,대전 유성구 도안북로 85-15(지번) 용계동 664-5
432,공중전화 맥도날드김천평화점앞,경북 김천시 평화동 438-1
433,LG유플러스 장전동 맥도날드점,부산 금정구 금정로60번길 20(지번) 장전동 302-13
434,양산부산대학교병원 로날드맥도날드하우스,경남 양산시 물금읍 범어리 2762-1
435,쏘카존 부산역 맥도날드(초량DT점) 뒤편,부산 동구 중앙대로226번길 7-5(지번) 초량동 1197-9
436,공중전화 합성동맥도날드앞,경남 창원시 마산회원구 3.15대로 지하 758(지번) 합성동 586
437,쏘카존 부산시청점 옆,부산 연제구 중앙대로 1059(지번) 연산동 1338-10
438,쏘카존 하단DT점 뒤편,부산 사하구 하단동 80
439,그린존 시청점 옆,부산 연제구 중앙대로 1059(지번) 연산동 1338-10
440,쏘카존 구서DT점 뒤편,부산 금정구 중앙대로1959번길 17(지번) 구서동 164-14
441,공중전화 벡스코지하1층 W웨딩홀앞 (구)맥도날드,부산 해운대구 APEC로 55(지번) 우동 1500
442,공중전화 맥도날드사직DT점앞 (구)포항횟집,부산 동래구 사직동 105-1
443,IBK기업은행365 동아대맥도널드앞,부산 사하구 하단동 492-1
444,공중전화 하단동맥도날드앞,부산 사하구 하단동 491
445,공중전화 맥도날드시청점건너편 (구)대림혼다,부산 연제구 연산동 1328-10
