,이름,주소
343,대전태평점,대전 중구 태평로 71 1층 141호(지번) 태평동 395-1
344,대전송촌점,대전 대덕구 계족산로81번길 70 1층(지번) 송촌동 459-3
345,대전우송대점,대전 동구 동대전로 168(지번) 자양동 58-19
346,대전카이스트점,대전 유성구 대학로 291 정문술빌딩 1층(지번) 구성동 23
347,대전가오점,대전 동구 동구청로 95(지번) 가오동 644-1
348,대전건양대병원점,"대전 서구 관저동로 170 1층 108,109호(지번) 관저동 1896"
349,군산나운점,전북 군산시 공단대로 374(지번) 나운동 313-1
350,논산점,충남 논산시 시민로 267(지번) 내동 314-6
351,전주송천DT점,전북 전주시 덕진구 동부대로 1004(지번) 송천동2가 69-47
352,전주전북도청점,전북 전주시 완산구 홍산중앙로 22 1층(지번) 효자동3가 1541-7
353,대구동성로점,대구 중구 국채보상로 598(지번) 동성로2가 56
354,대구동촌DT점,대구 동구 해동로 259(지번) 검사동 957-17
355,대구계대동문점,대구 달서구 계대동문로 9(지번) 신당동 1721-15
356,대구칠곡3지구점,대구 북구 학정로 422 1층(지번) 구암동 769-1
357,대구침산점,대구 북구 침산남로 157(지번) 침산동 222-7
358,대구수성구청역점,대구 수성구 달구벌대로 2513(지번) 범어동 223-1
359,경남거창점,경남 거창군 거창읍 중앙로 120(지번) 거창읍 중앙리 282-33
360,대구상인역점,대구 달서구 월배로 222(지번) 상인동 1396-5
361,대구동성로2호점,대구 중구 동성로6길 42(지번) 공평동 55-23
362,대구경북대북문,대구 북구 대학로 87(지번) 산격동 1335-4
363,대구광장점,대구 서구 달구벌대로 1689(지번) 내당동 463-63
364,대구교대점,대구 남구 중앙대로 243(지번) 대명동 1792-8
365,대구반월당점,대구 중구 달구벌대로 2076 1층(지번) 남산동 536
366,광주상무점,광주 서구 치평로 86 1층(지번) 치평동 1184
367,대구월성점,대구 달서구 조암로 9(지번) 월성동 1857
368,대구평리DT점,대구 서구 서대구로 111(지번) 평리동 1404-1
369,광주첨단점,광주 광산구 첨단중앙로 110 1층(지번) 월계동 888-10
370,광주충장로점,광주 동구 중앙로160번길 31-18(지번) 황금동 69-3
371,대구다사점,대구 달성군 다사읍 달구벌대로 855(지번) 다사읍 매곡리 1546-4
372,광주수완점,광주 광산구 장신로 133 1층(지번) 수완동 1082
373,대구지산점,대구 수성구 지범로 180(지번) 지산동 1275-7
374,광주운암점,광주 북구 북문대로 117(지번) 운암동 357-2
375,광주전남대후문점,광주 북구 우치로 124 1층(지번) 용봉동 151-2
376,대구시지점,대구 수성구 달구벌대로 3201(지번) 신매동 376-1
377,광주주월점,광주 남구 서문대로 749 1층(지번) 주월동 407-11
378,경산영남대점,경북 경산시 대학로 281-1(지번) 대동 166-6
379,경산하양점,경북 경산시 하양읍 하양로 34 1층(지번) 하양읍 금락리 116-268
380,광주하남점,광주 광산구 무진대로 279 동부센트레빌 상가동 1층(지번) 우산동 1588-1
381,대구테크노폴리스점,대구 달성군 현풍읍 테크노상업로 62 1층(지번) 현풍읍 중리 490
382,대구이월드점,대구 달서구 두류동 산 302-11
383,광주오치점,광주 북구 설죽로 334(지번) 오치동 756-1
384,광주금호점,광주 서구 금화로 58 1층(지번) 금호동 244-4
385,광주봉선점,광주 남구 봉선로 176(지번) 봉선동 109-8
386,광주신용점,광주 북구 첨단연신로91번길 10 프라임빌딩 1층 106호(지번) 신용동 731
387,광주신창점,광주 광산구 신창로 121 1층(지번) 신창동 1129-4
388,대구율하롯데몰점,대구 동구 안심로 80 1층(지번) 율하동 1117
389,대구이시아폴리스점,대구 동구 팔공로51길 15-8 1층 103호(지번) 봉무동 1542-5
390,광주유스퀘어점,광주 서구 무진대로 904(지번) 광천동 49-1
391,경산대구대점,경북 경산시 진량읍 대구대로 201 과학생명융합대학 3호관 1층 1114호(지번) 진량읍 내리리 15
392,대구이시아점,대구 동구 팔공로51길 15-8 1층 103호(지번) 봉무동 1542-5
393,진주경상대점,경남 진주시 진주대로 548(지번) 가좌동 478-1
394,진주중안점,경남 진주시 진양호로 525(지번) 중안동 12-12
395,진주혁신점,"경남 진주시 충의로 20-4 101,102호(지번) 충무공동 284-1"
396,나주혁신점,전남 나주시 빛가람로 677(지번) 빛가람동 192-1
397,포항남부 DT점(2021년12월예정),경북 포항시 북구 죽도동 646-1
398,목포상동점,전남 목포시 백년대로 342 1층(지번) 상동 880-1
399,진주평거탑마트점,경남 진주시 새평거로 136(지번) 평거동 921
400,마산합성점,경남 창원시 마산회원구 합성옛길 137(지번) 합성동 126-18
401,진주경상대 칠암캠퍼스점,경남 진주시 동진로 30 1층(지번) 칠암동 490-11
402,창원용지호수점,경남 창원시 성산구 용지로169번길 3(지번) 용호동 73-29
403,마산경남대점,경남 창원시 마산합포구 3.15대로 1(지번) 해운동 13-21
404,창원상남점,경남 창원시 성산구 단정로 25(지번) 상남동 22-7
405,창원유니시티점,경남 창원시 의창구 중동중앙로 47 어반브릭스 1층(지번) 중동 784-1
406,써브웨이미용실,강원 태백시 번영로 339(지번) 황지동 25-30
407,창원리베라점,경남 창원시 성산구 중앙대로100번길 9 리베라컨벤션 1층 107호(지번) 상남동 78-4
408,울산삼산점,울산 남구 삼산로267번길 6-15(지번) 삼산동 1522-4
409,김해진영점,경남 김해시 진영읍 김해대로361번길 16(지번) 진영읍 진영리 1612-4
410,울산무거점,울산 남구 대학로 108(지번) 무거동 617-7
411,울산송정점,울산 북구 화산로 115(지번) 송정동 1232-3
412,진해석동점,경남 창원시 진해구 냉천로 62(지번) 석동 139-1
413,창원대방점,경남 창원시 성산구 가양로124번길 5-5 103호(지번) 대방동 362-9
414,울산성남점,울산 중구 시계탑거리 17(지번) 옥교동 96-22
415,울산구영점,울산 울주군 범서읍 구영로 108 1층(지번) 범서읍 구영리 793-8
416,부산서면점,부산 부산진구 중앙대로 690(지번) 부전동 194-6
417,부산명륜점,부산 동래구 명륜로187번길 49(지번) 명륜동 681-35
418,창원파티마병원점,경남 창원시 의창구 창이대로 45(지번) 명서동 212
419,김해장유점,경남 김해시 능동로149번길 8(지번) 부곡동 1161-2
420,부산시청점,부산 연제구 중앙대로 1043(지번) 연산동 1330-9
421,부산서면롯데점,부산 부산진구 가야대로784번길 23(지번) 부전동 502-22
422,목포남악점,전남 무안군 삼향읍 남악3로 79(지번) 삼향읍 남악리 2103
423,경남양산점,경남 양산시 양산역2길 3(지번) 중부동 692-7
424,울산달동점,울산 남구 신정로 37(지번) 달동 707-1
425,울산옥동점,울산 남구 문수로 332 1층(지번) 옥동 251-1
426,김해내동점,경남 김해시 내외중앙로 74(지번) 내동 1143-2
427,김해율하점,경남 김해시 율하3로 42(지번) 율하동 1350-1
428,김해인제대점,경남 김해시 인제로 184 1층(지번) 어방동 528-2
429,부산사상점,부산 사상구 사상로 211 1층(지번) 괘법동 526-7
430,경남남양산점,경남 양산시 물금읍 범어로 60(지번) 물금읍 범어리 2711-3
431,부산정관점,부산 기장군 정관읍 정관로 565 진우빌딩 11호(지번) 정관읍 매학리 713-3
432,부산센텀점,부산 해운대구 센텀5로 55(지번) 우동 1483
433,김해삼계점,경남 김해시 가야로 163(지번) 삼계동 1460-3
434,부산법원점,부산 연제구 법원로32번길 18(지번) 거제동 1489-1
435,부산광안비치점,부산 수영구 광안해변로 239(지번) 민락동 179-1
436,부산토곡점,부산 연제구 과정로237번길 119(지번) 연산동 417-21
437,울산공업탑점,울산 남구 삼산로 11(지번) 신정동 1231-11
438,부산장전역점,부산 금정구 중앙대로1719번길 30(지번) 부곡동 223-56
439,부산해운대비치점,부산 해운대구 구남로 42-1(지번) 중동 1391-41
440,부산벡스코점,부산 해운대구 센텀1로 17 센텀프리미어호텔 108호(지번) 우동 1521
441,울산진장점,울산 북구 진장17길 10 1층(지번) 진장동 729-1
442,부산대역점,부산 금정구 금정로60번길 40(지번) 장전동 293-128
443,부산명지국제신도시점,부산 강서구 명지국제8로 264 1층(지번) 명지동 3420-5
444,부산양정점,부산 부산진구 양지로 4(지번) 양정동 363-2
445,부산서면동천로점,부산 부산진구 동천로 71(지번) 부전동 170-1
446,부산덕천점,부산 북구 덕천1길 22(지번) 덕천동 403-31
447,부산대점,부산 금정구 부산대학로 48(지번) 장전동 417-39
448,부산화명점,부산 북구 화명신도시로 130(지번) 화명동 2272-1
449,부산좌동점,부산 해운대구 해운대로 794(지번) 좌동 1473-2
450,부산부민점,부산 서구 구덕로226번길 3(지번) 부민동1가 4-4
451,울산일산점,울산 동구 방어진순환도로 662(지번) 일산동 941-3
452,창원대동백화점,경남 창원시 성산구 원이대로 730 대동백화점 1층(지번) 상남동 44-1
453,부산주례점,부산 사상구 가야대로366번길 43(지번) 주례동 80-33
454,부산동아대점,부산 사하구 낙동대로 542(지번) 하단동 492-2
455,부산범일점,부산 동구 조방로 14 동일타워 124호(지번) 범일동 830-140
456,부산사직점,부산 동래구 사직북로 7 101호(지번) 사직동 91-8
457,제주연동신시가지점,제주특별자치도 제주시 국기로1길 2(지번) 연동 1482
458,부산중앙점,부산 중구 중앙대로 102 팬오션 부산빌딩 1층 103호(지번) 중앙동4가 83-5
459,부산광복점,부산 중구 광복중앙로 3-1(지번) 창선동1가 2-1
460,부산대연점,부산 남구 수영로 246 1층(지번) 대연동 1729-4
461,울산덕신점,울산 울주군 온산읍 덕신로 261 1층(지번) 온산읍 덕신리 1285-4
462,제주시청점,제주특별자치도 제주시 중앙로 252(지번) 이도이동 1010
463,부산명지점,부산 강서구 명지오션시티4로 61(지번) 명지동 3239-2
464,부산진역점,부산 동구 중앙대로 365(지번) 수정동 1-10
465,부산반여점,부산 해운대구 선수촌로 78(지번) 반여동 1441-85
466,부산부경대점,부산 남구 용소로 24(지번) 대연동 61-2
467,통영문화마당점,경남 통영시 통영해안로 317-1(지번) 항남동 79-43
468,거제고현점,"경남 거제시 거제중앙로 1894 1층 104,105호(지번) 고현동 35-8"
469,부산남천점,부산 수영구 수영로 462(지번) 남천동 29-15
470,부산영도점,부산 영도구 태종로 107(지번) 영선동1가 21-1
471,부산경성대점,부산 남구 수영로325번길 12(지번) 대연동 93-3
472,거제아주점,경남 거제시 아주1로2길 62(지번) 아주동 1683-2
473,통영무전점,경남 통영시 원문로 27 월드지브이존 1층(지번) 북신동 698-1
474,김해이마트점,경남 김해시 김해대로 2232 1층(지번) 외동 1264
475,경남양산증산점,경남 양산시 물금읍 야리1길 17(지번) 물금읍 가촌리 1299-3
476,울산야음점,"울산 남구 수암로 138 1층 102,103호(지번) 야음동 789-14"
477,경남양산덕계메가마트점,경남 양산시 덕계로 62 C동 1층(지번) 덕계동 737-21
478,제주대점,제주특별자치도 제주시 제주대학로 113(지번) 아라이동 34-13
479,부산W스퀘어점,"부산 남구 분포로 145 스퀘어동 1055,1056호(지번) 용호동 954"
480,부산동의대점,부산 부산진구 엄광로 176(지번) 가야동 464-114
481,부산하단아트몰링점,부산 사하구 낙동남로 1413 지하1층(지번) 하단동 526-6
482,부산홈플러스아시아드점,부산 연제구 종합운동장로 7 지하 2층(지번) 거제동 1208
483,부산연산트레이더스점,부산 연제구 좌수영로 241 지하 3층(지번) 연산동 137-5
484,명지점,부산 강서구 명지오션시티4로 61(지번) 명지동 3239-2
485,창원중앙역점,경남 창원시 의창구 용동로 85 1층(지번) 사림동 165-14
486,반여점,부산 해운대구 선수촌로 78(지번) 반여동 1441-85
487,서브웨이 롯데백화점 광복점,부산 중구 중앙대로 2 롯데백화점 광복점 4층(지번) 중앙동7가 20-1
488,부산역점,부산 동구 중앙대로 206 역사 내 2층(지번) 초량동 1187-21
489,구로철도기지창,서울 구로구 구일로8길 150(지번) 구로1동 685
490,모란차량기지,경기 성남시 중원구 여수대로 182(지번) 여수동 164
491,서브웨이 김해삼계점,경남 김해시 가야로 163(지번) 삼계동 1460-3
492,부산지하철노포차량기지,부산 금정구 중앙대로 2238(지번) 노포동 133
