,이름,주소
76,인천송도센트럴파크점,인천 연수구 센트럴로 194 센트럴파크 A동 108호(지번) 송도동 23-4
77,시흥대야점,경기 시흥시 비둘기공원로 21 대야하이빌(지번) 대야동 562-5
78,광명사거리역점,경기 광명시 광명로 892-1(지번) 광명동 158-516
79,광명철산역점,경기 광명시 철산로 15(지번) 철산동 245-9
80,상수역점,서울 마포구 와우산로 44 1층(지번) 상수동 143-29
81,명지대점,서울 서대문구 거북골로 23 1층(지번) 남가좌동 324-2
82,신촌로데오점,서울 서대문구 연세로 23(지번) 창천동 33-43
83,여의도화재보험점,서울 영등포구 국제금융로6길 38(지번) 여의도동 35-7
84,구로디지털점,서울 구로구 디지털로34길 55 코오롱싸이언스밸리 2차 109호(지번) 구로동 811
85,연희점,서울 서대문구 연희로 93 연희오피스텔 1층(지번) 연희동 188-57
86,인천송도점,인천 연수구 신송로 122(지번) 송도동 2-6
87,인천논현점,인천 남동구 청능대로 583 중앙프라자(지번) 논현동 631-9
88,구로NC점,서울 구로구 구로중앙로 152 1층(지번) 구로동 573
89,이대점,서울 서대문구 이화여대7길 30(지번) 대현동 37-3
90,인천서창점,인천 남동구 서창남로 41(지번) 서창동 708-1
91,신촌점,서울 서대문구 신촌로 121 아남오피스텔(지번) 창천동 20-41
92,인천송도트리플스트리트점,인천 연수구 송도과학로16번길 33-3(지번) 송도동 176-1
93,여의도국회의사당점,서울 영등포구 국회대로70길 19(지번) 여의도동 14-11
94,여의도KBS본관점,서울 영등포구 국회대로62길 25 교육시설재난공제회관(지번) 여의도동 17-10
95,은평구청점,서울 은평구 은평로 200-1(지번) 응암동 76-2
96,시흥은계점,경기 시흥시 은계번영길 21 1층(지번) 은행동 646-9
97,홍제역점,서울 서대문구 통일로 432-1(지번) 홍제동 174-15
98,대림삼거리점,서울 영등포구 시흥대로 681 삼성YJ그랜드빌딩 신관동 1층(지번) 대림동 952-19
99,독산점,서울 금천구 시흥대로 399 1층 112호(지번) 독산동 291-6
100,공덕역롯데캐슬점,서울 마포구 마포대로 109 롯데캐슬프레지던트(지번) 공덕동 467
101,마포점,서울 마포구 마포대로 53 마포트라팰리스(지번) 도화동 559
102,인천송도지웰푸르지오시티점,인천 연수구 하모니로 144 판매시설동 B112호(지번) 송도동 8-23
103,종로점,서울 종로구 종로 77 통일빌딩(지번) 종로2가 12
104,보라매점,서울 관악구 보라매로3길 29 해태보라매타워(지번) 신대방동 708
105,신림역점,서울 관악구 신림로 344 SK허브그린(지번) 신림동 1421-29
106,노량진점,서울 동작구 노량진로 166(지번) 노량진동 117-2
107,시청점,서울 중구 세종대로 68 천일빌딩(지번) 태평로2가 69-13
108,광명소하점,경기 광명시 금하로 464(지번) 소하동 1335
109,서울역동자점,서울 용산구 후암로 107 게이트웨이타워(지번) 동자동 12
110,독립문점,서울 종로구 송월길 155 경복궁자이4단지 상가 1층 4104~ 4106호(지번) 교북동 126
111,광화문점,서울 종로구 새문안로3길 19(지번) 당주동 128-17
112,연세대점,서울 서대문구 연세로 50 연세공학원(지번) 신촌동 134
113,경복궁점,서울 종로구 사직로 115(지번) 내자동 11-1
114,안국점,서울 종로구 우정국로 69 동일빌딩 1층(지번) 수송동 5
115,애오개점,서울 마포구 마포대로 180 1층(지번) 공덕동 105-159
116,충정로점,서울 서대문구 충정로 23 풍산빌딩 지하1층(지번) 충정로3가 470
117,정동점,서울 중구 새문안로 30(지번) 충정로1가 51-7
118,숙명여대점,서울 용산구 청파로47길 42(지번) 청파동2가 71-19
119,명동성당점,서울 중구 명동길 80 파밀리아체플 1898광장 B118호(지번) 저동1가 39-4
120,을지로입구점,서울 중구 남대문로 112(지번) 남대문로1가 22-10
121,시흥배곧신도시점,경기 시흥시 배곧3로 96(지번) 정왕동 2514
122,노량진역점,서울 동작구 노량진로 152-1(지번) 노량진동 73-3
123,용산전자랜드점,서울 용산구 청파로 74 본관 A동 104호(지번) 한강로3가 16-9
124,을지로3가점,서울 중구 을지로 103-1(지번) 을지로2가 101-6
125,서울대점,서울 관악구 관악로 156 호윤빌딩 1층(지번) 봉천동 855-11
126,용산아이파크몰점,서울 용산구 한강대로23길 55 서관 4층(지번) 한강로3가 40-999
127,순화동라마다점,서울 중구 칠패로 27 더샵주상복합(지번) 순화동 151
128,남영역점,서울 용산구 한강대로 271(지번) 갈월동 92-14
129,회현점,서울 중구 소공로 35 남산롯데캐슬아이리스(지번) 회현동1가 208
130,중앙대점,서울 동작구 흑석로 79(지번) 흑석동 195-19
131,대학로점,서울 종로구 동숭길 101 지하 1층(지번) 동숭동 1-83
132,숭실대점,서울 동작구 사당로 12-1(지번) 상도동 502-7
133,낙성대역점,서울 관악구 남부순환로 1904 1층 102호(지번) 봉천동 1661-4
134,동대문역사문화공원역점,"서울 중구 장충단로 227-2 1,2층(지번) 광희동1가 186-1"
